CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,Male,19,15,39,1
2,Male,21,15,81,1
3,Female,20,16,6,1
4,Female,23,16,77,1
5,Female,31,17,40,1
6,Female,22,17,76,1
7,Female,35,18,6,1
8,Female,23,18,94,1
10,Female,30,19,72,1
12,Female,35,19,99,1
14,Female,24,20,77,1
15,Male,37,20,13,1
16,Male,22,20,79,1
17,Female,35,21,35,1
18,Male,20,21,66,1
20,Female,35,23,98,1
21,Male,35,24,35,1
22,Male,25,24,73,1
24,Male,31,25,73,1
26,Male,29,28,82,1
28,Male,35,28,61,1
29,Female,40,29,31,1
30,Female,23,29,87,1
32,Female,21,30,73,1
34,Male,18,33,92,1
36,Female,21,33,81,1
37,Female,42,34,17,1
38,Female,30,34,73,1
39,Female,36,37,26,1
40,Female,20,37,75,1
42,Male,24,38,92,1
44,Female,31,39,61,1
46,Female,24,39,65,1
48,Female,27,40,47,1
49,Female,29,40,42,1
50,Female,31,40,42,1
52,Male,33,42,60,1
53,Female,31,43,54,1
59,Female,27,46,51,1
62,Male,19,46,55,1
66,Male,18,48,59,1
69,Male,19,48,59,1
70,Female,32,48,47,1
76,Male,26,54,54,1
78,Male,40,54,48,1
79,Female,23,54,52,1
82,Male,38,54,55,1
85,Female,21,54,57,1
88,Female,22,57,55,1
89,Female,34,58,60,1
92,Male,18,59,41,1
95,Female,32,60,42,1
96,Male,24,60,52,1
98,Female,27,60,50,1
100,Male,20,61,49,1
101,Female,23,62,41,1
104,Male,26,62,55,1
106,Female,21,62,42,1
112,Female,19,63,54,1
114,Male,19,64,46,1
115,Female,18,65,48,1
116,Female,19,65,50,1
