CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
94,Female,40,60,40,0
113,Female,38,64,42,0
121,Male,27,67,56,0
122,Female,38,67,40,0
123,Female,40,69,58,0
124,Male,39,69,91,0
125,Female,23,70,29,0
126,Female,31,70,77,0
127,Male,43,71,35,0
128,Male,40,71,95,0
130,Male,38,71,75,0
132,Male,39,71,75,0
133,Female,25,72,34,0
134,Female,31,72,71,0
135,Male,20,73,5,0
136,Female,29,73,88,0
137,Female,44,73,7,0
138,Male,32,73,73,0
139,Male,19,74,10,0
140,Female,35,74,72,0
142,Male,32,75,93,0
143,Female,28,76,40,0
144,Female,32,76,87,0
145,Male,25,77,12,0
146,Male,28,77,97,0
147,Male,48,77,36,0
148,Female,32,77,74,0
149,Female,34,78,22,0
150,Male,34,78,90,0
151,Male,43,78,17,0
152,Male,39,78,88,0
153,Female,44,78,20,0
154,Female,38,78,76,0
155,Female,47,78,16,0
156,Female,27,78,89,0
157,Male,37,78,1,0
158,Female,30,78,78,0
159,Male,34,78,1,0
160,Female,30,78,73,0
162,Female,29,79,83,0
163,Male,19,81,5,0
164,Female,31,81,93,0
165,Male,50,85,26,0
166,Female,36,85,75,0
167,Male,42,86,20,0
168,Female,33,86,95,0
169,Female,36,87,27,0
170,Male,32,87,63,0
171,Male,40,87,13,0
172,Male,28,87,75,0
173,Male,36,87,10,0
174,Male,36,87,92,0
175,Female,52,88,13,0
176,Female,30,88,86,0
178,Male,27,88,69,0
180,Male,35,93,90,0
181,Female,37,97,32,0
182,Female,32,97,86,0
183,Male,46,98,15,0
184,Female,29,98,88,0
185,Female,41,99,39,0
186,Male,30,99,97,0
187,Female,54,101,24,0
188,Male,28,101,68,0
189,Female,41,103,17,0
190,Female,36,103,85,0
191,Female,34,103,23,0
192,Female,32,103,69,0
193,Male,33,113,8,0
194,Female,38,113,91,0
195,Female,47,120,16,0
196,Female,35,120,79,0
197,Female,45,126,28,0
198,Male,32,126,74,0
199,Male,32,137,18,0
200,Male,30,137,83,0
